Código	Valor
46295	Venta al por mayor de flores, plantas y otros productos naturales
46371	Venta al por mayor de frutas, hortalizas (verduras), legumbres y tubérculos
46297	Venta al por mayor de ganado bovino (vivo)
46614	Venta al por mayor de gas propano
46291	Venta al por mayor de granos básicos (cereales, leguminosas)
46396	Venta al por mayor de hielo
46411	Venta al por mayor de hilados, tejidos y productos textiles de mercería
46374	Venta al por mayor de huevos
46471	Venta al por mayor de instrumentos musicales
46615	Venta al por mayor de leña y carbón
46613	Venta al por mayor de lubricantes, grasas y otros aceites para automotores, maquinaria industrial, etc.
46634	Venta al por mayor de maderas
46591	Venta al por mayor de maquinaria equipo, accesorios y materiales para la industria de la madera y sus productos
46530	Venta al por mayor de maquinaria y equipo agropecuario, accesorios, partes y suministros
46598	Venta al por mayor de maquinaria, equipo y accesorios para la construcción y explotación de minas y canteras
46593	Venta al por mayor de maquinaria, equipo, accesorios y materiales para la industria de productos químicos, plástico y caucho
46592	Venta al por mayor de maquinaria, equipo, accesorios y materiales para la industria gráfica y del papel, cartón y productos de papel y cartón
46594	Venta al por mayor de maquinaria, equipo, accesorios y materiales para la industria metálica y de sus productos
46597	Venta al por mayor de maquinaria, equipo, accesorios y partes para la industria de la alimentación textil, confecciones y cuero
46596	Venta al por mayor de maquinaria, equipo, accesorios y partes para la industria de la alimentación
46639	Venta al por mayor de materiales para la construcción n.c.p.
46201	Venta al por mayor de materias primas agrícolas
46482	Venta al por mayor de medicamentos, artículos y otros productos de uso veterinario
46620	Venta al por mayor de metales y minerales metaliferos
46599	Venta al por mayor de otro tipo de maquinaria y equipo con sus accesorios y partes
46419	Venta al por mayor de otros artículos textiles n.c.p.
46610	Venta al por mayor de otros combustibles sólidos, líquidos, gaseosos y de productos conexos
46900	Venta al por mayor de otros productos
46377	Venta al por mayor de pastas alimenticias, aceites y grasas comestibles vegetal y animal
46372	Venta al por mayor de pollos, gallinas destazadas, pavos y otras aves
46414	Venta al por mayor de prendas de vestir y accesorios de vestir
46296	Venta al por mayor de productos agrícolas
46202	Venta al por mayor de productos de la silvicultura
46376	Venta al por mayor de productos farináceos de panadería (pan dulce, cakes, respostería, etc.)
46696	Venta al por mayor de productos intermedios y desechos de origen plástico
46692	Venta al por mayor de productos intermedios y desechos de origen textil
46693	Venta al por mayor de productos intermedios y desechos de origen
46694	Venta al por mayor de productos intermedios y desechos de papel cartón y metálico
46699	Venta al por mayor de productos intermedios y desechos ncp
46375	Venta al por mayor de productos lácteos
46491	Venta al por mayor de productos medicinales, cosméticos, perfumería y productos de limpieza
46203	Venta al por mayor de productos pecuarios y de granja
46498	Venta al por mayor de productos usados para el hogar o el uso personal
46483	Venta al por mayor de productos y artículos de belleza y de uso personal
46631	Venta al por mayor de puertas, ventanas, vitrinas y similares
46394	Venta al por mayor de refrescos y otras bebidas, liquidas o en polvo
46492	Venta al por mayor de relojes y artículos de joyería
46496	Venta al por mayor de revistas, periódicos, libros, artículos de librería y artículos de papel y cartón en general
46415	Venta al por mayor de ropa usada
46378	Venta al por mayor de sal comestible
46691	Venta al por mayor de sal industrial sin yodar
46292	Venta al por mayor de semillas mejoradas para cultivo
46303	Venta al por mayor de tabaco
46697	Venta al por mayor de tintas para imprenta, productos curtientes y materias y productos colorantes
46904	Venta al por mayor de toldos y tiendas de campafia de cualquier material
46695	Venta al por mayor fertilizantes, abonos, agroquímicos y productos similares
47219	Venta al por menor de alimentos n.c.p.
47891	Venta al por menor de animales, flores y productos conexos en puestos de feria y mercados
47593	Venta al por menor de aparatos electrodomésticos, repuestos y accesorios
47736	Venta al por menor de armas de fuego, municiones y accesorios
47734	Venta al por menor de artesanías, artículos cerámicos y recuerdos en general
47893	Venta al por menor de artículos de bazar en puestos de ferias y mercados
47592	Venta al por menor de artículos de bazar
47737	Venta al por menor de artículos de cohetería y pirotécnicos
47522	Venta al por menor de artículos de ferretería
47827	Venta al por menor de artículos de marroquinería y talabartería en puestos de mercados y ferias
47894	Venta al por menor de artículos de papel, envases, libros, revistas y conexos en puestos de feria y mercados
47713	Venta al por menor de artículos de peletería, marroquinería y talabartería
47738	Venta al por menor de artículos desechables de uso personal y doméstico (servilletas, papel higiénico, pañales, toallas sanitarias, etc.)
47594	Venta al por menor de artículos eléctricos y de iluminacion
47822	Venta al por menor de artículos textiles excepto confecciones para el hogar en puestos de mercados y ferias
47829	Venta al por menor de artículos textiles ncp en puestos de mercados y ferias
47741	Venta al por menor de artículos usados
47735	Venta al por menor de ataúdes, lápidas y cruces, trofeos, artículos religiosos en general
47816	Venta al por menor de bebidas
47631	Venta al por menor de bicicletas, accesorios y repuestos
47712	Venta al por menor de calzado
47826	Venta al por menor de calzado, artículos de marroquinería y talabartería en puestos de mercados y ferias
47217	Venta al por menor de carnes y productos cárnicos
47212	Venta al por menor de carnes, embutidos y productos de granja
47733	Venta al por menor de combustibles de uso doméstico (gas propano y gas licuado)
47411	Venta al por menor de computadoras y equipo periférico
47823	Venta al por menor de confecciones textiles para el hogar en puestos de mercados y ferias
47620	Venta al por menor de discos láser, cassettes, cintas de video y otros
47420	Venta al por menor de equipo de audio y video
47896	Venta al por menor de equipos accesorios para las comunicaciones en puestos de feria y mercados
47211	Venta al por menor de frutas y hortalizas
47811	Venta al por menor de frutas, verduras y hortalizas
47218	Venta al por menor de granos básicos y otros
47221	Venta al por menor de hielo
47821	Venta al por menor de hilados, tejidos y productos textiles de mercería en puestos de mercados y ferias
47510	Venta al por menor de hilados, tejidos y productos textiles de mercería; confecciones para el hogar y textiles n.c.p.
47216	Venta al por menor de huevos
47598	Venta al por menor de instrumentos musicales
47640	Venta al por menor de juegos y juguetes en comercios especializados
47610	Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados
47743	Venta al por menor de libros, revistas, papel y cartón usados
47529	Venta al por menor de materiales de construcción y artículos conexos
47895	Venta al por menor de materiales de construcción, electrodomésticos, accesorios para autos y similares en puestos de feria y mercados
47721	Venta al por menor de medicamentos farmacéuticos y otros materiales y artículos de uso médico, odontológico y veterinario
47591	Venta al por menor de muebles
47190	Venta al por menor de otros productos en comercios no especializados
47739	Venta al por menor de otros productos n.c.p.
47213	Venta al por menor de pescado y mariscos
47732	Venta al por menor de plantas, semillas, animales y artículos conexos
47711	Venta al por menor de prendas de vestir y accesorios de vestir
47824	Venta al por menor de prendas de vestir, accesorios de vestir y similares en puestos de mercados y ferias
47722	Venta al por menor de productos cosméticos y de tocador
47731	Venta al por menor de productos de joyería, bisutería, óptica, relojería
47521	Venta al por menor de productos de madera
47815	Venta al por menor de productos de panadería, galletas y similares
47215	Venta al por menor de productos de panadería, repostería y galletas
47523	Venta al por menor de productos de pinturerías
47214	Venta al por menor de productos lácteos
47814	Venta al por menor de productos lácteos
47892	Venta al por menor de productos medicinales, cosméticos, de tocador y de limpieza en puestos de ferias y mercados
47749	Venta al por menor de productos usados n.c.p.
47630	Venta al por menor de productos y equipos de deporte
47825	Venta al por menor de ropa usada
47230	Venta al por menor de tabaco
47530	Venta al por menor de tapices, alfombras y revestimientos de paredes y pisos en comercios especializados
47742	Venta al por menor de textiles y confecciones usados
47899	Venta al por menor en puestos de ferias y mercados n.c.p.
47818	Venta al por menor en tiendas de mercado y puestos
47524	Venta al por menor en vidrierías
47910	Venta al por menor por correo o Internet
46701	Venta de algodón en oro
46497	Venta de artículos deportivos, juguetes y rodados
47225	Venta de bebidas alcohólicas para su consumo dentro del establecimiento
47224	Venta de bebidas alcohólicas, para su consumo fuera del establecimiento
47223	Venta de bebidas no alcohólicas, para su consumo fuera del establecimiento
47300	Venta de combustibles, lubricantes y otros (gasolineras)
47412	Venta de equipo y accesorios de telecomunicación
46590	Venta de equipos e instrumentos de uso profesional y científico y aparatos de medida y control
47199	Venta de establecimientos no especializados con surtido compuesto principalmente de alimentos, bebidas y tabaco
45401	Venta de motocicletas
46299	Venta de otras especies vivas del reino animal
45301	Venta de partes, piezas y accesorios nuevos para vehículos automotores
45302	Venta de partes, piezas y accesorios usados para vehículos automotores
46484	Venta de productos farmacéuticos y medicinales
46698	Venta de productos intermedios y desechos de origen químico y de caucho
46211	Venta de productos para uso agropecuario
45402	Venta de repuestos, piezas y accesorios de motocicletas
45100	Venta de vehículos automotores
47111	Venta en supermercados
47112	Venta en tiendas de artículos de primera necesidad
46633	Vidrierías
10005	Otros
